18:11:15: Creating resource group General
18:11:15: Creating resource group Internal
18:11:15: Creating resource group Autodetect
18:11:15: SceneManagerFactory for type 'DefaultSceneManager' registered.
18:11:15: Registering ResourceManager for type Material
18:11:15: Registering ResourceManager for type Mesh
18:11:15: Registering ResourceManager for type Skeleton
18:11:15: MovableObjectFactory for type 'ParticleSystem' registered.
18:11:15: ArchiveFactory for archive type FileSystem registered.
18:11:15: ArchiveFactory for archive type Zip registered.
18:11:15: ArchiveFactory for archive type EmbeddedZip registered.
18:11:15: DDS codec registering
18:11:15: FreeImage version: 3.15.3
18:11:15: This program uses FreeImage, a free, open source image library supporting all common bitmap formats. See http://freeimage.sourceforge.net for details
18:11:15: Supported formats: bmp,ico,jpg,jif,jpeg,jpe,jng,koa,iff,lbm,mng,pbm,pbm,pcd,pcx,pgm,pgm,png,ppm,ppm,ras,tga,targa,tif,tiff,wap,wbmp,wbm,psd,cut,xbm,xpm,gif,hdr,g3,sgi,exr,j2k,j2c,jp2,pfm,pct,pict,pic,3fr,arw,bay,bmq,cap,cine,cr2,crw,cs1,dc2,dcr,drf,dsc,dng,erf,fff,ia,iiq,k25,kc2,kdc,mdc,mef,mos,mrw,nef,nrw,orf,pef,ptx,pxn,qtk,raf,raw,rdc,rw2,rwl,rwz,sr2,srf,srw,sti
18:11:15: Registering ResourceManager for type HighLevelGpuProgram
18:11:15: Registering ResourceManager for type Compositor
18:11:15: MovableObjectFactory for type 'Entity' registered.
18:11:15: MovableObjectFactory for type 'Light' registered.
18:11:15: MovableObjectFactory for type 'BillboardSet' registered.
18:11:15: MovableObjectFactory for type 'ManualObject' registered.
18:11:15: MovableObjectFactory for type 'BillboardChain' registered.
18:11:15: MovableObjectFactory for type 'RibbonTrail' registered.
18:11:15: *-*-* OGRE Initialising
18:11:15: *-*-* Version 1.9.0 (Ghadamon)
18:11:15: Loading library ./RenderSystem_Direct3D9.dll
18:11:15: Installing plugin: D3D9 RenderSystem
18:11:15: D3D9 : Direct3D9 Rendering Subsystem created.
18:11:15: D3D9: Driver Detection Starts
18:11:15: D3D9: Driver Detection Ends
18:11:15: Plugin successfully installed
18:11:15: CPU Identifier & Features
18:11:15: -------------------------
18:11:15:  *   CPU ID: GenuineIntel: Intel(R) Celeron(R) CPU 1000M @ 1.80GHz
18:11:15:  *      SSE: yes
18:11:15:  *     SSE2: yes
18:11:15:  *     SSE3: yes
18:11:15:  *      MMX: yes
18:11:15:  *   MMXEXT: yes
18:11:15:  *    3DNOW: no
18:11:15:  * 3DNOWEXT: no
18:11:15:  *     CMOV: yes
18:11:15:  *      TSC: yes
18:11:15:  *      FPU: yes
18:11:15:  *      PRO: yes
18:11:15:  *       HT: no
18:11:15: -------------------------
18:11:15: D3D9 : Subsystem Initialising
18:11:15: Registering ResourceManager for type Texture
18:11:15: Registering ResourceManager for type GpuProgram
18:11:15: ***************************************
18:11:15: *** D3D9 : Subsystem Initialised OK ***
18:11:15: ***************************************
18:11:15: D3D9RenderSystem::_createRenderWindow "QGearsWindow", 1280x720 windowed  miscParams: title=X-Gears v0.23 (Lahan all together) 
18:11:15: D3D9 : Created D3D9 Rendering Window 'QGearsWindow' : 1280x685, 32bpp
18:11:15: D3D9 : WARNING - disabling VSync in windowed mode can cause timing issues at lower frame rates, turn VSync on if you observe this problem.
18:11:15: D3D9: Vertex texture format supported - PF_L8
18:11:15: D3D9: Vertex texture format supported - PF_L16
18:11:15: D3D9: Vertex texture format supported - PF_A8
18:11:15: D3D9: Vertex texture format supported - PF_A4L4
18:11:15: D3D9: Vertex texture format supported - PF_BYTE_LA
18:11:15: D3D9: Vertex texture format supported - PF_R5G6B5
18:11:15: D3D9: Vertex texture format supported - PF_B5G6R5
18:11:15: D3D9: Vertex texture format supported - PF_A4R4G4B4
18:11:16: D3D9: Vertex texture format supported - PF_A1R5G5B5
18:11:16: D3D9: Vertex texture format supported - PF_A8R8G8B8
18:11:16: D3D9: Vertex texture format supported - PF_B8G8R8A8
18:11:16: D3D9: Vertex texture format supported - PF_A2R10G10B10
18:11:16: D3D9: Vertex texture format supported - PF_A2B10G10R10
18:11:16: D3D9: Vertex texture format supported - PF_DXT1
18:11:16: D3D9: Vertex texture format supported - PF_DXT2
18:11:16: D3D9: Vertex texture format supported - PF_DXT3
18:11:16: D3D9: Vertex texture format supported - PF_DXT4
18:11:16: D3D9: Vertex texture format supported - PF_DXT5
18:11:16: D3D9: Vertex texture format supported - PF_FLOAT16_RGB
18:11:16: D3D9: Vertex texture format supported - PF_FLOAT16_RGBA
18:11:16: D3D9: Vertex texture format supported - PF_FLOAT32_RGB
18:11:16: D3D9: Vertex texture format supported - PF_FLOAT32_RGBA
18:11:16: D3D9: Vertex texture format supported - PF_X8R8G8B8
18:11:16: D3D9: Vertex texture format supported - PF_R8G8B8A8
18:11:16: D3D9: Vertex texture format supported - PF_DEPTH
18:11:16: D3D9: Vertex texture format supported - PF_SHORT_RGBA
18:11:16: D3D9: Vertex texture format supported - PF_FLOAT16_R
18:11:16: D3D9: Vertex texture format supported - PF_FLOAT32_R
18:11:16: D3D9: Vertex texture format supported - PF_SHORT_GR
18:11:16: D3D9: Vertex texture format supported - PF_FLOAT16_GR
18:11:16: D3D9: Vertex texture format supported - PF_FLOAT32_GR
18:11:16: D3D9: Vertex texture format supported - PF_SHORT_RGB
18:11:16: D3D9: Vertex texture format supported - PF_PVRTC_RGB2
18:11:16: D3D9: Vertex texture format supported - PF_PVRTC_RGBA2
18:11:16: D3D9: Vertex texture format supported - PF_PVRTC_RGB4
18:11:16: D3D9: Vertex texture format supported - PF_PVRTC_RGBA4
18:11:16: D3D9: Vertex texture format supported - PF_PVRTC2_2BPP
18:11:16: D3D9: Vertex texture format supported - PF_PVRTC2_4BPP
18:11:16: D3D9: Vertex texture format supported - PF_R11G11B10_FLOAT
18:11:16: D3D9: Vertex texture format supported - PF_R8_UINT
18:11:16: D3D9: Vertex texture format supported - PF_R8G8_UINT
18:11:16: D3D9: Vertex texture format supported - PF_R8G8B8_UINT
18:11:16: D3D9: Vertex texture format supported - PF_R8G8B8A8_UINT
18:11:16: D3D9: Vertex texture format supported - PF_R16_UINT
18:11:16: D3D9: Vertex texture format supported - PF_R16G16_UINT
18:11:16: D3D9: Vertex texture format supported - PF_R16G16B16_UINT
18:11:16: D3D9: Vertex texture format supported - PF_R16G16B16A16_UINT
18:11:16: D3D9: Vertex texture format supported - PF_R32_UINT
18:11:16: D3D9: Vertex texture format supported - PF_R32G32_UINT
