BB 02 00 FC BB 02 00 00 46 F1 00 00 [00]

00 00 00 00 00 00 58 00 27 00 66 01 [01]
00 00 00 00 04 04 00 00 00 00 00 00 [02]
00 00 00 00 FA FF C9 04 00 00 00 00 [04]
00 00 00 00 00 00 3C 06 00 00 00 00 [05]
00 04 FC FF 00 FC 01 00 28 00 66 00 [25](01)(бедро)
00 04 FC FF 00 FC E6 04 10 00 66 00 [03](02)(коленка)
00 04 02 00 00 FC 1A 00 30 00 66 00 [28](03)(лодыжка)
00 04 00 00 00 FC C0 00 47 00 67 00 [06](00)(ступня)
FE FF 00 00 00 00 00 00 81 01 92 FF [07](05)(носок)
00 00 AB FE 00 00 0E FF 3E 01 D9 00 [26](06)(каблук)
00 00 55 01 00 00 EF 00 3E 01 D9 00 [27](06)(каблук)

00 00 00 00 00 00 58 00 27 00 9A FE [08]
00 00 00 00 04 04 00 00 00 00 00 00 [09]
00 00 00 00 FA FF C9 04 00 00 00 00 [0B]
00 00 00 00 00 00 3C 06 00 00 00 00 [0C]
00 04 FC FF 00 FC 01 00 28 00 9A FF [29](01)(бедро)
00 04 FC FF 00 FC E6 04 10 00 9A FF [0A](02)(коленка)
00 04 02 00 00 FC 1A 00 30 00 9A FF [2A](03)(лодыжка)
00 04 00 00 00 FC C0 00 47 00 9A FF [0D](04)(ступня)

00 00 00 00 07 FC 00 00 00 00 00 00 [0F]
00 FC 07 00 00 04 30 00 ED FF 00 00 [22](11)(попа)














FE FF 00 00 00 00 00 00 81 01 92 FF [0E](05)(носок)

00 00 00 00 00 00 35 04 00 00 00 00 [11]

00 00 00 00 03 04 6A FF 34 00 57 03 [12]
00 00 00 00 00 04 00 00 00 00 00 00 [13]
00 00 00 00 07 00 34 03 00 00 00 00 [14]
00 00 00 00 00 00 51 03 00 00 00 00 [15]
00 04 F9 FF 00 FC 5C 00 00 00 5F 00 [16](07)(кулак)
00 04 F9 FF 00 FC 5C 00 00 00 5F 00 [17](08)(ладонь)

00 00 00 00 03 04 6A FF 34 00 A9 FC [18]
00 00 00 00 00 04 00 00 00 00 00 00 [19]
00 00 00 00 07 00 34 03 00 00 00 00 [1A]
00 00 00 00 00 00 51 03 00 00 00 00 [1B]
00 04 F9 FF 00 FC 5C 00 00 00 A1 FF [1C](09)(кулак)
00 04 F9 FF 00 FC 5C 00 00 00 A1 FF [1D](0A)(ладонь)


00 00 00 00 F6 FF A3 01 00 00 00 00 [10]
00 FC 00 00 00 04 05 00 00 00 00 00 [1E](0D)(тело)
FD FF 00 00 00 00 00 00 6A FB 29 00 [1F](0E)(голова)
00 00 72 00 00 00 7B 03 0F FD A6 01 [20](0F)(крыло)
00 00 8E FF 00 00 85 FC 0F FD A6 01 [21](0F)(крыло)
66 00 00 00 00 00 6B 01 76 01 15 02 [31](10)(междукрыльями)
66 00 00 00 00 00 95 FE 76 01 15 02 [32](10)(междукрыльями)

F9 FF 00 00 00 00 33 02 F9 FE 16 00 [23](12)(попокрылок)
F9 FF 00 00 00 00 CD FD F9 FE 16 00 [24](13)(попокрылок)



00 00 55 01 00 00 F2 00 3E 01 D9 00 [2B](06)(каблук)
00 00 AB FE 00 00 12 FF 3E 01 D9 00 [2C](06)(каблук)

00 FC 00 00 00 FC F4 FF 04 00 71 FF [2D](0С)(предплечье)

00 04 F9 FF 00 FC F3 FF EB FF 5E 00 [2E](0B)(запястье)

00 04 F9 FF 00 FC F3 FF EB FF A2 FF [2F](0B)(запястье)

00 04 00 00 00 FC F4 FF 04 00 8F 00 [30](0С)(предплечье)
